dataset,horizon,model,run_tag,MAPE,MAPE_target,MSE,MAE,R2,MSE_target,MAE_target,R2_target
ETTh1,24,autoformer,formal_seed42,808.3901405334473,21.817690134048462,0.44425079226493835,0.44611856341362,0.6524125633711164,0.07668772339820862,0.21182765066623688,0.5049130085763658
ETTh1,24,informer,formal_seed42,1015.6349182128906,31.453144550323486,0.6243582963943481,0.5490962266921997,0.5114942088892401,0.17984530329704285,0.3256336450576782,-0.1610602537873429
ETTh1,24,lstm,formal_seed42,963.7546539306641,38.83919715881348,0.870238721370697,0.6649889945983887,0.3191142404046139,0.25487086176872253,0.41660434007644653,-0.6454165565109655
ETTh1,24,patchtst,formal_seed42,778.2166004180908,18.49965751171112,0.3802126348018646,0.41115206480026245,0.70251682914431,0.0635678768157959,0.19395782053470612,0.5896132400766361
ETTh1,24,transformer,formal_seed42,1291.3761138916016,56.65147304534912,0.7434156537055969,0.6426082849502563,0.41834219636043035,0.4686937928199768,0.6113147735595703,-2.0258323737078707
ETTh1,48,autoformer,formal_seed42,929.6524047851562,28.45374345779419,0.5590663552284241,0.5040062665939331,0.5620069923364586,0.09223202615976334,0.2342877835035324,0.404049601949655
ETTh1,48,informer,formal_seed42,1142.668342590332,63.99838924407959,0.6388604640960693,0.5867485404014587,0.499493380123067,0.7408012747764587,0.7456939220428467,-3.7866325184765346
ETTh1,48,lstm,formal_seed42,950.3308296203613,45.408785343170166,0.8796215653419495,0.6831222176551819,0.3108723248045513,0.3388148248195648,0.4848206639289856,-1.189226879641736
ETTh1,48,patchtst,formal_seed42,812.7894401550293,21.06977254152298,0.42025119066238403,0.43255215883255005,0.670759856913173,0.06036551296710968,0.18431365489959717,0.6099527235130191
ETTh1,48,transformer,formal_seed42,1299.208927154541,68.68418455123901,1.2716197967529297,0.8799547553062439,0.0037666152537224606,0.7891784310340881,0.7809563875198364,-4.099217782388134
ETTh1,96,autoformer,formal_seed42,962.2167358398438,33.02164840698242,0.6014952063560486,0.5417332053184509,0.5286595821380615,0.11697035282850266,0.26678720116615295,0.2465795874595642
ETTh1,96,informer,formal_seed42,1010.796142578125,63.71049118041992,0.980397641658783,0.7545990943908691,0.23174607753753662,0.7261182069778442,0.723888635635376,-3.6770167350769043
ETTh1,96,lstm,formal_seed42,1829.3226318359375,44.166866302490234,1.0501518249511719,0.7806593775749207,0.17708563804626465,0.33161747455596924,0.49312689900398254,-1.1359889507293701
ETTh1,96,patchtst,formal_seed42,813.0574951171875,29.126834869384766,0.48317474126815796,0.47223684191703796,0.6213772296905518,0.07876595109701157,0.21740901470184326,0.492658793926239
ETTh1,96,transformer,formal_seed42,1139.7144775390625,89.79855346679688,0.8815512657165527,0.7211780548095703,0.309203565120697,1.3125191926956177,1.0213850736618042,-7.454097747802734
ETTh1,168,autoformer,formal_seed42,944.7718505859375,32.063133239746094,0.5746665000915527,0.5292689800262451,0.5498607158660889,0.12654832005500793,0.274676650762558,0.18845123052597046
ETTh1,168,informer,formal_seed42,1254.8189697265625,92.54893493652344,1.1881722211837769,0.8442090749740601,0.06929844617843628,1.4551551342010498,1.0849425792694092,-8.331846237182617
ETTh1,168,lstm,formal_seed42,1276.2703857421875,71.02469635009766,1.3035365343093872,0.8841540813446045,-0.021067023277282715,0.8478484749794006,0.8190852403640747,-4.4372148513793945
ETTh1,168,patchtst,formal_seed42,925.905517578125,32.70642852783203,0.5139105319976807,0.489040344953537,0.5974512100219727,0.09374676644802094,0.23509420454502106,0.3988061547279358
ETTh1,168,transformer,formal_seed42,1260.2099609375,73.1494140625,1.2878738641738892,0.8779900670051575,-0.00879824161529541,1.0368362665176392,0.8728219270706177,-5.649184703826904
ETTh1,336,autoformer,formal_seed42,1010.9120483398438,35.525917053222656,0.6893956065177917,0.5987886190414429,0.4580533504486084,0.19263187050819397,0.3521275222301483,-0.22754156589508057
ETTh1,336,informer,formal_seed42,1314.9228515625,69.84188079833984,1.0249017477035522,0.794585645198822,0.19430577754974365,0.7682111859321594,0.7851676940917969,-3.8954057693481445
ETTh1,336,lstm,formal_seed42,1921.1710205078125,53.907100677490234,1.118262767791748,0.8028342723846436,0.12091284990310669,0.4897376000881195,0.5928485989570618,-2.120840072631836
ETTh1,336,patchtst,formal_seed42,942.6069946289062,36.95005798339844,0.5943669676780701,0.5450114011764526,0.5327571034431458,0.11560934036970139,0.2721794843673706,0.26328253746032715
ETTh1,336,transformer,formal_seed42,1333.826904296875,63.15046691894531,1.025600790977478,0.7669590711593628,0.19375622272491455,0.740178108215332,0.7262176871299744,-3.7167654037475586
