dataset,horizon,model,run_tag,MSE,MAE,R2,MSE_target,MAE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,model_params,train_time_seconds,device,data_dir
ETTh1,96,autoformer_no_autocorr,ablation_seed42,0.5428858995437622,0.5146175026893616,0.5745866298675537,0.14722192287445068,0.29728272557258606,0.05172544717788696,0.6727489762446459,0.44619339494144217,7,42,0,8449,2689,5709,103239,135.163316488266,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,96,autoformer_no_decomp,ablation_seed42,1.0110539197921753,0.7834766507148743,0.20772331953048706,0.8956068158149719,0.8160805106163025,-4.768713474273682,0.9497819467502482,0.2835728182512171,6,42,0,8449,2689,5709,103239,70.74987506866455,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,96,patchtst_channel_mix,ablation_seed42,1.8886033296585083,1.0288058519363403,-0.47993719577789307,0.9264377951622009,0.7957602739334106,-4.967299938201904,1.0969113153569838,0.07362849361756268,11,42,0,8449,2689,5709,117280,176.01472282409668,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,96,patchtst_no_patch,ablation_seed42,0.5193925499916077,0.496345579624176,0.59299635887146,0.10780535638332367,0.25203216075897217,0.3056124448776245,0.7624590752755894,0.40502434968948364,8,42,0,8449,2689,5709,79456,887.7634191513062,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,336,autoformer_no_autocorr,ablation_seed42,0.6280617713928223,0.5734858512878418,0.5062689781188965,0.21421538293361664,0.365668922662735,-0.365081787109375,1.087892080282236,0.18531938264896344,13,42,0,8209,2449,5469,149799,326.2652289867401,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,336,autoformer_no_decomp,ablation_seed42,1.5090564489364624,0.9334507584571838,-0.18629729747772217,0.5747897624969482,0.6610662341117859,-2.662832736968994,1.2637344738105676,0.09199162427481118,6,42,0,8209,2449,5469,149799,98.92814111709595,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,336,patchtst_channel_mix,ablation_seed42,1.5055445432662964,0.9641187191009521,-0.18353652954101562,0.7305594086647034,0.7209768295288086,-3.655470371246338,1.4028908432304086,-0.025861527238573347,12,42,0,8209,2449,5469,226480,174.57217025756836,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,336,patchtst_no_patch,ablation_seed42,0.5971698760986328,0.5517898201942444,0.5305536985397339,0.12836867570877075,0.283450186252594,0.18197405338287354,1.141584567435376,0.14483992000678916,8,42,0,8209,2449,5469,95056,803.971352815628,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,96,autoformer_no_autocorr,ablation_seed42,0.4717903435230255,0.44952306151390076,0.6286522150039673,0.06554725021123886,0.19583716988563538,0.5809600949287415,0.4029286705482174,0.5764252790263001,7,42,0,34369,11329,23409,103239,625.6871106624603,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,96,autoformer_no_decomp,ablation_seed42,0.6302291750907898,0.5445061326026917,0.503944456577301,0.15812602639198303,0.306886225938797,-0.010890960693359375,0.550430736071627,0.5033740988919433,6,42,0,34369,11329,23409,103239,329.2463502883911,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,96,patchtst_channel_mix,ablation_seed42,0.8636718988418579,0.6453474164009094,0.3202008605003357,0.17160914838314056,0.3243963420391083,-0.09708774089813232,0.6550403069232551,0.44044399748385793,6,42,0,34369,11329,23409,117280,458.79556584358215,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,96,patchtst_no_patch,ablation_seed42,0.5572354197502136,0.4777386784553528,0.5613980293273926,0.07148560881614685,0.20345523953437805,0.5429965257644653,0.5175162600169719,0.5288818342584959,9,42,0,34369,11329,23409,79456,3949.9822328090668,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,336,autoformer_no_autocorr,ablation_seed42,0.5744566321372986,0.5172173380851746,0.5470288991928101,0.12573470175266266,0.27500012516975403,0.19507724046707153,0.6404808788031597,0.4344363848139298,8,42,0,34129,11089,23169,149799,1036.8710658550262,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,336,autoformer_no_decomp,ablation_seed42,1.1208540201187134,0.7446118593215942,0.11618304252624512,0.4512835443019867,0.5285120010375977,-1.8890068531036377,0.8618821937601573,0.3280815174668941,7,42,0,34129,11089,23169,149799,642.3396201133728,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,336,patchtst_channel_mix,ablation_seed42,1.2289661169052124,0.8306476473808289,0.030934453010559082,0.5918577313423157,0.6507052183151245,-2.788928270339966,1.0345406115742168,0.1969505663563951,6,42,0,34129,11089,23169,226480,67.6105945110321,cuda,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,336,patchtst_no_patch,ablation_seed42,0.5974075794219971,0.5175207257270813,0.5289316177368164,0.13548529148101807,0.27671512961387634,0.13265633583068848,0.7294004377868746,0.4012964470929302,10,42,0,34129,11089,23169,95056,220.04564809799194,cuda,C:\Users\LOKER\Desktop\Research-Training\data\processed
