dataset,horizon,base_model,ablation_model,ablation,base_MSE,ablation_MSE,delta_MSE,delta_MSE_pct,base_MAE,ablation_MAE,delta_MAE,base_R2,ablation_R2,delta_R2,base_params,ablation_params,base_train_time_seconds,ablation_train_time_seconds,base_trained_epochs,ablation_trained_epochs
ETTh1,96,autoformer,autoformer_no_autocorr,replace_autocorr_with_attention,0.6014952063560486,0.5428858995437622,-0.05860930681228638,-9.743935810785697,0.5417332053184509,0.5146175026893616,-0.027115702629089355,0.5286595821380615,0.5745866298675537,0.04592704772949219,103239,103239,76.88387894630432,135.163316488266,6,7
ETTh1,96,autoformer,autoformer_no_decomp,remove_decomposition,0.6014952063560486,1.0110539197921753,0.4095587134361267,68.090104311437,0.5417332053184509,0.7834766507148743,0.24174344539642334,0.5286595821380615,0.20772331953048706,-0.32093626260757446,103239,103239,76.88387894630432,70.74987506866455,6,6
ETTh1,96,patchtst,patchtst_channel_mix,mix_channels,0.48317474126815796,1.8886033296585083,1.4054285883903503,290.87377057451545,0.47223684191703796,1.0288058519363403,0.5565690100193024,0.6213772296905518,-0.47993719577789307,-1.1013144254684448,99776,117280,131.52726554870605,176.01472282409668,17,11
ETTh1,96,patchtst,patchtst_no_patch,remove_patching,0.48317474126815796,0.5193925499916077,0.03621780872344971,7.495799268892056,0.47223684191703796,0.496345579624176,0.02410873770713806,0.6213772296905518,0.59299635887146,-0.028380870819091797,99776,79456,131.52726554870605,887.7634191513062,17,8
ETTh1,336,autoformer,autoformer_no_autocorr,replace_autocorr_with_attention,0.6893956065177917,0.6280617713928223,-0.06133383512496948,-8.896754569524024,0.5987886190414429,0.5734858512878418,-0.025302767753601074,0.4580533504486084,0.5062689781188965,0.048215627670288086,149799,149799,160.84713315963745,326.2652289867401,8,13
ETTh1,336,autoformer,autoformer_no_decomp,remove_decomposition,0.6893956065177917,1.5090564489364624,0.8196608424186707,118.89557094204038,0.5987886190414429,0.9334507584571838,0.33466213941574097,0.4580533504486084,-0.18629729747772217,-0.6443506479263306,149799,149799,160.84713315963745,98.92814111709595,8,6
ETTh1,336,patchtst,patchtst_channel_mix,mix_channels,0.5943669676780701,1.5055445432662964,0.9111775755882263,153.3021895795784,0.5450114011764526,0.9641187191009521,0.4191073179244995,0.5327571034431458,-0.18353652954101562,-0.7162936329841614,177056,226480,56.889050006866455,174.57217025756836,8,12
ETTh1,336,patchtst,patchtst_no_patch,remove_patching,0.5943669676780701,0.5971698760986328,0.002802908420562744,0.47157876749317484,0.5450114011764526,0.5517898201942444,0.006778419017791748,0.5327571034431458,0.5305536985397339,-0.0022034049034118652,177056,95056,56.889050006866455,803.971352815628,8,8
ETTm1,96,autoformer,autoformer_no_autocorr,replace_autocorr_with_attention,0.46052443981170654,0.4717903435230255,0.01126590371131897,2.446320485385156,0.4522871971130371,0.44952306151390076,-0.0027641355991363525,0.6375195980072021,0.6286522150039673,-0.008867383003234863,103239,103239,320.17295026779175,625.6871106624603,6,7
ETTm1,96,autoformer,autoformer_no_decomp,remove_decomposition,0.46052443981170654,0.6302291750907898,0.16970473527908325,36.85032120086178,0.4522871971130371,0.5445061326026917,0.09221893548965454,0.6375195980072021,0.503944456577301,-0.13357514142990112,103239,103239,320.17295026779175,329.2463502883911,6,6
ETTm1,96,patchtst,patchtst_channel_mix,mix_channels,0.46696192026138306,0.8636718988418579,0.39670997858047485,84.95553092603684,0.4349454641342163,0.6453474164009094,0.21040195226669312,0.632452666759491,0.3202008605003357,-0.3122518062591553,99776,117280,357.7159206867218,458.79556584358215,11,6
ETTm1,96,patchtst,patchtst_no_patch,remove_patching,0.46696192026138306,0.5572354197502136,0.09027349948883057,19.33209017092865,0.4349454641342163,0.4777386784553528,0.042793214321136475,0.632452666759491,0.5613980293273926,-0.07105463743209839,99776,79456,357.7159206867218,3949.9822328090668,11,9
ETTm1,336,autoformer,autoformer_no_autocorr,replace_autocorr_with_attention,0.5546035766601562,0.5744566321372986,0.019853055477142334,3.5796839963958105,0.5078021883964539,0.5172173380851746,0.009415149688720703,0.5626834630966187,0.5470288991928101,-0.015654563903808594,149799,149799,620.1242153644562,1036.8710658550262,7,8
ETTm1,336,autoformer,autoformer_no_decomp,remove_decomposition,0.5546035766601562,1.1208540201187134,0.5662504434585571,102.1000345631629,0.5078021883964539,0.7446118593215942,0.23680967092514038,0.5626834630966187,0.11618304252624512,-0.44650042057037354,149799,149799,620.1242153644562,642.3396201133728,7,7
ETTm1,336,patchtst,patchtst_channel_mix,mix_channels,0.5589854717254639,1.2289661169052124,0.6699806451797485,119.85653994041515,0.5040627717971802,0.8306476473808289,0.3265848755836487,0.5592281818389893,0.030934453010559082,-0.5282937288284302,177056,226480,339.69914078712463,67.6105945110321,10,6
ETTm1,336,patchtst,patchtst_no_patch,remove_patching,0.5589854717254639,0.5974075794219971,0.0384221076965332,6.87354316704023,0.5040627717971802,0.5175207257270813,0.013457953929901123,0.5592281818389893,0.5289316177368164,-0.03029656410217285,177056,95056,339.69914078712463,220.04564809799194,10,10
