dataset,model,avg_MAPE,avg_MAPE_target,min_MAPE_target,min_MAPE_target_horizon,max_MAPE_target,max_MAPE_target_horizon,num_runs
ETTh1,autoformer,931.1886360168457,30.176426458358765,21.817690134048462,24,35.525917053222656,336,5
ETTh1,informer,1147.768244934082,64.31056814193725,31.453144550323486,24,92.54893493652344,168,5
ETTh1,lstm,1388.1699043273925,50.66932916641235,38.83919715881348,24,71.02469635009766,168,5
ETTh1,patchtst,854.5152095794678,27.670550286769867,18.49965751171112,24,36.95005798339844,336,5
ETTh1,transformer,1264.867276763916,70.28681840896607,56.65147304534912,24,89.79855346679688,96,5
ETTm1,autoformer,219.90695190429688,19.80369281768799,10.826930046081543,24,28.82451057434082,336,5
ETTm1,informer,234.1846954345703,36.71461448669434,20.978168487548828,48,48.15570068359375,96,5
ETTm1,lstm,234.9593536376953,40.27443504333496,27.66786766052246,48,55.89875030517578,336,5
ETTm1,patchtst,201.75620727539064,19.266840171813964,10.260128021240234,24,30.46172523498535,336,5
ETTm1,transformer,231.81190490722656,34.984580993652344,21.70516014099121,24,51.51783752441406,336,5
ALL,autoformer,575.5477939605713,24.990059638023375,10.826930046081543,24,35.525917053222656,336,10
ALL,informer,690.9764701843262,50.5125913143158,20.978168487548828,48,92.54893493652344,168,10
ALL,lstm,811.5646289825439,45.47188210487366,27.66786766052246,48,71.02469635009766,168,10
ALL,patchtst,528.1357084274292,23.468695229291917,10.260128021240234,24,36.95005798339844,336,10
ALL,transformer,748.3395908355712,52.63569970130921,21.70516014099121,24,89.79855346679688,96,10
