dataset,horizon,model,univariate_MSE_target,multivariate_MSE_target,delta_MSE_target,delta_MSE_target_pct,univariate_MAE_target,multivariate_MAE_target,delta_MAE_target,univariate_R2_target,multivariate_R2_target,delta_R2_target
ETTh1,96,autoformer,0.07647890597581863,0.15041784942150116,-0.07393894344568253,-49.15569449668254,0.2121918797492981,0.3057800829410553,-0.0935882031917572,0.5073899030685425,0.03114008903503418,0.4762498140335083
ETTh1,96,informer,0.18716000020503998,0.8628377318382263,-0.6756777316331863,-78.30878262159622,0.34894293546676636,0.8180254101753235,-0.46908247470855713,-0.2055206298828125,-4.557644367218018,4.352123737335205
ETTh1,96,lstm,0.1486111730337143,0.38355934619903564,-0.23494817316532135,-61.254710481733795,0.3028919994831085,0.5405451059341431,-0.23765310645103455,0.042777061462402344,-1.470552921295166,1.5133299827575684
ETTh1,96,patchtst,0.1564207375049591,0.08918967097997665,0.06723106652498245,75.37987106386895,0.3222216069698334,0.23068183660507202,0.09153977036476135,-0.007525324821472168,0.42551833391189575,-0.4330436587333679
ETTh1,96,transformer,0.20562461018562317,0.8514754772186279,-0.6458508670330048,-75.85078804120332,0.3685970604419708,0.8025241494178772,-0.43392708897590637,-0.3244534730911255,-4.4844584465026855,4.16000497341156
ETTh1,336,autoformer,0.10120794177055359,0.23422592878341675,-0.13301798701286316,-56.790459546780504,0.24833416938781738,0.39230111241340637,-0.143966943025589,0.3550550937652588,-0.4925985336303711,0.8476536273956299
ETTh1,336,informer,0.24626724421977997,0.9300565123558044,-0.6837892681360245,-73.52125937507618,0.40935686230659485,0.8494164347648621,-0.4400595724582672,-0.5693315267562866,-4.926760673522949,4.357429146766663
ETTh1,336,lstm,0.2046871930360794,0.6391996145248413,-0.4345124214887619,-67.97757771083849,0.3687551021575928,0.6868757009506226,-0.3181205987930298,-0.3043637275695801,-3.0732827186584473,2.768918991088867
ETTh1,336,patchtst,0.20317649841308594,0.1273258626461029,0.07585063576698303,59.57205255353466,0.3749842047691345,0.28512343764305115,0.08986076712608337,-0.2947368621826172,0.18861931562423706,-0.48335617780685425
ETTh1,336,transformer,0.20573125779628754,0.5628771781921387,-0.35714592039585114,-63.45006120126136,0.3742278218269348,0.6225486993789673,-0.24832087755203247,-0.3110170364379883,-2.5869197845458984,2.27590274810791
ETTm1,96,autoformer,0.04174055904150009,0.050453800708055496,-0.008713241666555405,-17.269739479091996,0.1473981887102127,0.17083515226840973,-0.02343696355819702,0.7331548929214478,0.6774516701698303,0.05570322275161743
ETTm1,96,informer,0.05708664655685425,0.23495052754878998,-0.17786388099193573,-75.70269165909033,0.1749241203069687,0.3756255507469177,-0.20070143043994904,0.6350482702255249,-0.5020257234573364,1.1370739936828613
ETTm1,96,lstm,0.054822783917188644,0.15808914601802826,-0.10326636210083961,-65.32159744660999,0.16637998819351196,0.3220663070678711,-0.15568631887435913,0.649520993232727,-0.010655045509338379,0.6601760387420654
ETTm1,96,patchtst,0.05936724692583084,0.04389706626534462,0.015470180660486221,35.24193859056497,0.18346063792705536,0.1530192345380783,0.03044140338897705,0.6204684972763062,0.7193684577941895,-0.0988999605178833
ETTm1,96,transformer,0.05390055477619171,0.12456975132226944,-0.07066919654607773,-56.730618888521654,0.16560988128185272,0.2756747901439667,-0.11006490886211395,0.65541672706604,0.20363247394561768,0.45178425312042236
ETTm1,336,autoformer,0.09175800532102585,0.12011825293302536,-0.02836024761199951,-23.610271177341623,0.22388386726379395,0.2625582218170166,-0.038674354553222656,0.4125877618789673,0.23103243112564087,0.18155533075332642
ETTm1,336,informer,0.20454449951648712,0.3251531422138214,-0.12060864269733429,-37.09287204388589,0.35792839527130127,0.4551791250705719,-0.09725072979927063,-0.30944371223449707,-1.0815505981445312,0.7721068859100342
ETTm1,336,lstm,0.17970260977745056,0.31586307287216187,-0.1361604630947113,-43.10743182033053,0.3273657262325287,0.46370041370391846,-0.13633468747138977,-0.1504119634628296,-1.0220777988433838,0.8716658353805542
ETTm1,336,patchtst,0.17946994304656982,0.19383379817008972,-0.014363855123519897,-7.410397215595936,0.3367566764354706,0.3503989279270172,-0.01364225149154663,-0.14892256259918213,-0.2408764362335205,0.09195387363433838
ETTm1,336,transformer,0.195502370595932,0.74704909324646,-0.551546722650528,-73.83004949121349,0.35137853026390076,0.739956259727478,-0.38857772946357727,-0.25155818462371826,-3.7824249267578125,3.5308667421340942
