dataset,horizon,model,feature_mode,run_tag,MSE,MAE,MAPE,R2,MSE_target,MAE_target,MAPE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,input_size,model_params,train_time_seconds,device,use_validation_best
ETTh1,24,autoformer,multivariate,feature_mode_full_seed42,0.451223224401474,0.4405728578567505,800.32958984375,0.646957278251648,0.045546289533376694,0.1602911502122879,18.657588958740234,0.7059584856033325,0.39016147973862564,0.6629167849367316,21,42,0,8521,2761,5781,7,89271,46.189509868621826,cuda,True
ETTh1,24,autoformer,univariate,feature_mode_full_seed42,0.03515925630927086,0.13785165548324585,16.105342864990234,0.7730159759521484,0.03515925630927086,0.13785165548324585,16.105342864990234,0.7730159759521484,0.05190649027512832,0.1720268347046592,34,42,0,8521,2761,5781,1,88497,57.92288041114807,cuda,True
ETTh1,24,informer,multivariate,feature_mode_full_seed42,0.7503859400749207,0.6341688632965088,1087.2650146484375,0.4128885865211487,0.37336891889572144,0.5024420619010925,44.52080535888672,-1.4104259014129639,0.6117290739308704,0.5355972701852972,18,42,0,8521,2761,5781,7,182175,33.12881898880005,cuda,True
ETTh1,24,informer,univariate,feature_mode_full_seed42,0.1235973909497261,0.2659057080745697,25.50499153137207,0.2020696997642517,0.1235973909497261,0.2659057080745697,25.50499153137207,0.2020696997642517,0.05100610513578762,0.17867645621299744,33,42,0,8521,2761,5781,1,181401,48.97211718559265,cuda,True
ETTh1,24,lstm,multivariate,feature_mode_full_seed42,0.9204919338226318,0.6819056272506714,1066.8782958984375,0.2797955274581909,0.14298149943351746,0.30723321437835693,28.96150016784668,0.07692813873291016,0.7510032647035338,0.4716887528246099,15,42,0,8521,2761,5781,7,380328,21.369513034820557,cuda,True
ETTh1,24,lstm,univariate,feature_mode_full_seed42,0.048470620065927505,0.1618311107158661,17.309118270874023,0.6870793104171753,0.048470620065927505,0.1618311107158661,17.309118270874023,0.6870793104171753,0.054872190579771996,0.10881375995549289,27,42,0,8521,2761,5781,1,337176,29.441665172576904,cuda,True
ETTh1,24,patchtst,multivariate,feature_mode_full_seed42,0.3691515624523163,0.40070661902427673,737.4776000976562,0.7111711502075195,0.04148377478122711,0.15765047073364258,18.295583724975586,0.7321856021881104,0.43319170888174663,0.6515103524381464,23,42,0,8521,2761,5781,7,77488,36.79657053947449,cuda,True
ETTh1,24,patchtst,univariate,feature_mode_full_seed42,0.07606343179941177,0.21526888012886047,22.20473289489746,0.5089433789253235,0.07606343179941177,0.21526888012886047,22.20473289489746,0.5089433789253235,0.06030249400911006,0.03287706591866233,22,42,0,8521,2761,5781,1,77488,27.601398468017578,cuda,True
ETTh1,24,transformer,multivariate,feature_mode_full_seed42,0.7682323455810547,0.6321515440940857,951.9181518554688,0.3989253640174866,0.2669122815132141,0.4376416802406311,40.36788558959961,-0.7231544256210327,0.6591637195511297,0.5052555528554049,15,42,0,8521,2761,5781,7,238376,21.757617473602295,cuda,True
ETTh1,24,transformer,univariate,feature_mode_full_seed42,0.057228971272706985,0.18338502943515778,20.40102195739746,0.6305364370346069,0.057228971272706985,0.18338502943515778,20.40102195739746,0.6305364370346069,0.05551421947099946,0.07405979254029015,19,42,0,8521,2761,5781,1,219032,20.289058923721313,cuda,True
ETTh1,48,autoformer,multivariate,feature_mode_full_seed42,0.47013214230537415,0.4656917452812195,873.7382202148438,0.6316813230514526,0.07406981289386749,0.2045542448759079,23.486774444580078,0.521403431892395,0.5012325156818737,0.5822509310462258,15,42,0,8497,2737,5757,7,93927,35.96249794960022,cuda,True
ETTh1,48,autoformer,univariate,feature_mode_full_seed42,0.05602489411830902,0.17590780556201935,20.502300262451172,0.6379992961883545,0.05602489411830902,0.17590780556201935,20.502300262451172,0.6379992961883545,0.07376907858997583,-0.18757705525918442,25,42,0,8497,2737,5757,1,93153,47.46400809288025,cuda,True
ETTh1,48,informer,multivariate,feature_mode_full_seed42,1.0495233535766602,0.7842815518379211,1061.19091796875,0.17776507139205933,0.8016518354415894,0.7729414701461792,69.40247344970703,-4.179813861846924,0.7768990736116063,0.41755405881188135,16,42,0,8497,2737,5757,7,184503,33.48628878593445,cuda,True
ETTh1,48,informer,univariate,feature_mode_full_seed42,0.2041948288679123,0.34458160400390625,34.08108139038086,-0.3193897008895874,0.2041948288679123,0.34458160400390625,34.08108139038086,-0.3193897008895874,0.0761992595243183,-0.224955675276843,37,42,0,8497,2737,5757,1,183729,58.12118697166443,cuda,True
ETTh1,48,lstm,multivariate,feature_mode_full_seed42,1.078047513961792,0.7614215016365051,1290.9063720703125,0.15541821718215942,0.2012283205986023,0.36466413736343384,38.159996032714844,-0.3002218008041382,0.8915771875869144,0.3810577392578125,13,42,0,8497,2737,5757,7,423504,18.39551830291748,cuda,True
ETTh1,48,lstm,univariate,feature_mode_full_seed42,0.12997066974639893,0.26404809951782227,26.19686508178711,0.16020417213439941,0.12997066974639893,0.26404809951782227,26.19686508178711,0.16020417213439941,0.08066391885619272,-0.2598575082692233,21,42,0,8497,2737,5757,1,343344,23.383307456970215,cuda,True
ETTh1,48,patchtst,multivariate,feature_mode_full_seed42,0.41523614525794983,0.4289845824241638,807.23583984375,0.6746888160705566,0.057424530386924744,0.18097664415836334,21.427438735961914,0.6289556622505188,0.5357527685436335,0.5687862824309956,18,42,0,8497,2737,5757,7,85216,28.437174081802368,cuda,True
ETTh1,48,patchtst,univariate,feature_mode_full_seed42,0.13995003700256348,0.29881012439727783,31.33411979675293,0.0957232117652893,0.13995003700256348,0.29881012439727783,31.33411979675293,0.0957232117652893,0.09258516420694915,-0.47654841162941675,17,42,0,8497,2737,5757,1,85216,20.378875970840454,cuda,True
ETTh1,48,transformer,multivariate,feature_mode_full_seed42,0.8801534175872803,0.7138729095458984,952.1609497070312,0.31045567989349365,0.7195279002189636,0.7557360529899597,67.83858489990234,-3.6491761207580566,0.75128689001907,0.4251944260163741,16,42,0,8497,2737,5757,7,260048,25.58843469619751,cuda,True
ETTh1,48,transformer,univariate,feature_mode_full_seed42,0.16146771609783173,0.32200416922569275,29.210636138916016,-0.0433117151260376,0.16146771609783173,0.32200416922569275,29.210636138916016,-0.0433117151260376,0.08157653878019615,-0.37479133768515155,14,42,0,8497,2737,5757,1,222128,17.337361335754395,cuda,True
